aid,likeNum,commentsLen,reposts_count,region,content,contentLen,created_at,type,detailUrl,authorAvater,authorName,authorDetail,isVip
5101646281704391,85,34,18,无,【美前CIA官员：#特朗普理念是通过实力寻求与中国和平相处#】据香港《南华早报》11月16日报道，前美国中央情报局（CIA）东亚和太平洋事务副助理主任丹尼斯·怀尔德（Dennis Wilder，中文名韦德宁）11月15日在香港举行的一场论坛间隙认为，重新上台执政后的特朗普可能将对中国采取所谓“鹰派态度”，但同 ​,942,2024-11-17,国际,https://weibo.com/5101646281704391/P0GPi79ob,"https://tvax3.sinaimg.cn/crop.6.8.591.591.180/707e96d5ly8h8vg9v0hpjj20go0gowf6.jpg?KID=imgbed,tva&Expires=1731834104&ssig=X5LjoEvG2D",观察者网,https://weibo.com/1887344341,0
5101646168983373,5,0,0,无,【外交部发言人全面介绍中美元首利马会晤情况】当地时间11月16日下午，习近平主席在秘鲁利马出席亚太经合组织领导人非正式会议期间应约同美国总统拜登举行会晤。中方已经发布会晤新闻稿。我愿进一步介绍有关情况：此次会晤是习近平主席同拜登总统时隔一年再次会晤。双方回顾了过去四年中美关系走过的 ​,438,2024-11-17,国际,https://weibo.com/5101646168983373/P0GP6BGZ7,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/0026p7eXly8h8vhdgp7tej60e80e8wer02.jpg?KID=imgbed,tva&Expires=1731834104&ssig=6Y8Llx%2FDbz",第一财经日报,https://weibo.com/1926909715,1
5101645865683840,3,0,0,无,美国收到伊朗书面保证，保证其并未积极试图暗杀特朗普哥伦比亚广播公司新闻 （CBS ）新闻记者 玛格丽特·布伦南、卡米拉·希克2024 年 11 月 15 日/美国东部时间晚上 8:54/据一位直接了解这封信的消息人士称，哥伦比亚广播公司新闻证实，美国在总统大选前收到了伊朗的书面保证，保证其领导层并未积极 ​,2568,2024-11-17,国际,https://weibo.com/5101645865683840/P0GOCnQCQ,"https://tvax4.sinaimg.cn/crop.0.63.250.250.180/008sgzFsly1h1ww4o9xq3j306y0agaa9.jpg?KID=imgbed,tva&Expires=1731834104&ssig=mu7q1CW7Xf",张作风流行病学教授UCLA,https://weibo.com/7746750422,0
5101645790973237,17,6,1,无,[哈哈][哈哈]向川普索赔吧！！会给你的！！#美国大选##伊朗##特朗普和平计划##特朗普赢得2024美国大选##美国大选[超话]# ​,112,2024-11-17,国际,https://weibo.com/5101645790973237/P0GOv45bn,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/005IsNEtly8h75ti2g0t5j30u00u1dm0.jpg?KID=imgbed,tva&Expires=1731834104&ssig=qyY%2FRTdKQp",wanshi童鞋2,https://weibo.com/5237686993,0
5101645776293812,9,8,2,无,【#石破茂与特朗普的早期会谈将被推迟#，#特朗普就任前不与外国人士会面#】据日本媒体报道，日本政府相关人士16日透露，首相石破茂和美国当选总统特朗普的早期会谈将被推迟。特朗普方面转达了就任前原则上不与外国人士会面的方针。 ​,214,2024-11-17,国际,https://weibo.com/5101645776293812/P0GOtqpj6,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/001NfW7xly1h8vipxgpehj60u00u0dik02.jpg?KID=imgbed,tva&Expires=1731834104&ssig=1apYGD3e%2FC",凤凰卫视,https://weibo.com/1643971635,0
5101645752435607,1,0,1,无,#英媒称特朗普欲加大对伊制裁#【英媒：特朗普上任后欲对伊朗重启“极限施压”】英国《金融时报》16日援引消息人士的话报道称，美国当选总统特朗普计划一上任就重启他的“极限施压”策略，使伊朗政府“破产”。#美伊关系# http://t.cn/A6nrHcbl ​,225,2024-11-17,国际,https://weibo.com/5101645752435607/P0GOradBZ,"https://tvax4.sinaimg.cn/crop.0.0.497.497.180/79942c81ly8h8vhijkua1j20dt0dtwek.jpg?KID=imgbed,tva&Expires=1731834104&ssig=YsP3yhH6Sr",CCTV4,https://weibo.com/2039753857,0
5101645593839441,1,0,0,无,#泽连斯基称美国不能逼我们坐在谈判桌上#川普：既然如此，请乌克兰独立与俄罗斯作战[doge] ​,84,2024-11-17,国际,https://weibo.com/5101645593839441/P0GObg6Ot,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/007gxpVGly8htopx7ubi1j30u00u0dh7.jpg?KID=imgbed,tva&Expires=1731834104&ssig=AYNMqZ2Wn7",宣德,https://weibo.com/6657315700,1
5101645440485863,2,0,0,无,好家伙，佩洛西这是要继续硬刚特朗普啊！ ​又要出山了... ​​​#特朗普再任会给世界带来什么# ​,89,2024-11-17,国际,https://weibo.com/5101645440485863/P0GNW22ov,"https://tva1.sinaimg.cn/crop.0.0.180.180.180/61c7e305jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1731834104&ssig=B%2BpaHnDwE3",桂哥猎手VIP777,https://weibo.com/1640489733,1
5101575267156404,7,0,4,无,#习主席拉美之行#【#习近平谈中方发展对美关系四个没有变#】新华社利马11月16日电　当地时间11月16日下午，国家主席习近平在利马会见美国总统拜登。习近平说：美国刚刚举行了大选。中方致力于中美关系稳定、健康、可持续发展的目标没有变，按照相互尊重、和平共处、合作共赢处理中美关系的原则没有变， ​,472,2024-11-17,国际,https://weibo.com/5101575267156404/P0EYKu1HS,"https://tvax3.sinaimg.cn/crop.12.21.1059.1059.180/002ujtFnly8h8vga88q7gj60u00u0juh02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=aLGdoj82Oq",解放军报,https://weibo.com/2280198017,0
5101575120355438,8,1,2,无,#习主席拉美之行# 新华社快讯：习近平：中美关系的发展历程，也印证了中美建交45年来的经验和启示。如果两国做伙伴、做朋友，求同存异、彼此成就，中美关系就能够得到长足发展。如果把对方当对手、当敌人，恶性竞争、互相伤害，中美关系就会遭遇波折甚至倒退。#习近平同拜登举行会晤# ​​​,270,2024-11-17,国际,https://weibo.com/5101575120355438/P0EYw1usS,"https://tvax3.sinaimg.cn/crop.12.21.1059.1059.180/002ujtFnly8h8vga88q7gj60u00u0juh02.jpg?KID=imgbed,tva&Expires=1731823304&ssig=aLGdoj82Oq",解放军报,https://weibo.com/2280198017,0
