Unnamed: 0,word,count,scores
38,喘气,4,0.5
93,家里,4,0.7477477477477478
77,骨肉相连,4,0.5
55,lz,4,0.5
50,就是,3,0.5262327818078083
52,上去,3,0.5262327818078083
3,还是,2,0.5262327818078083
1,刚来,2,0.49852071005917165
36,只有,2,0.5262327818078083
8,不如,2,0.5262327818078083
10,东西,2,0.5285524568393094
9,米线,2,0.5
37,空调,2,0.2753209700427961
35,全家,2,0.5
39,告诉,2,0.4504504504504503
73,下面,2,0.5262327818078083
80,加三,2,0.3974129204110929
63,没见,2,0.23628593883913995
61,井里,2,0.5
62,蹦出来,2,0.19999999999999996
71,什么,2,0.5262327818078083
66,一把,2,0.4736842105263156
65,手机,2,0.559322033898305
64,coser,2,0.5
43,先不去,2,0.32494383673134153
42,有事,2,0.3124999999999998
58,流量,2,0.2500000000000001
59,aug,2,0.5
60,哪个,2,0.5262327818078083
45,新意,2,0.37037037037037046
46,没有,2,0.5262327818078083
47,修理,2,0.11111111111111127
40,一声,2,0.31063829787234054
44,一点,2,0.46538124452234875
41,晚上,2,0.3957142857142856
2,直接,2,0.5262327818078083
6,希腊,2,0.875
5,cosplay,2,0.5
7,nm,2,0.5
4,程序,2,0.41176470588235314
87,青红皂白,2,0.5
88,球事,2,0.40403456326682474
90,多买,2,0.50869658578484
89,回去,2,0.45038167938931306
91,几瓶,2,0.3298969072164949
92,可乐,2,0.1875
94,多少,2,0.5262327818078083
95,逆天,2,0.2500000000000001
96,出来,2,0.5262327818078083
81,为了,2,0.5262327818078083
82,刚刚,2,0.5918367346938779
83,看见,2,0.5262327818078083
84,别以为,2,0.5262327818078083
85,8u,2,0.5
86,分不清,2,0.3850846668812403
79,腐烂,2,0.2500000000000001
100,发现,2,0.4223529411764706
97,喘气声,2,0.2886059034159546
98,自家,2,0.5262327818078083
99,沐时,2,0.5
102,叹气,2,0.8
101,一无所获,2,0.4285714285714284
57,他加,2,0.483455882352941
56,别理,2,0.5
72,希望,2,0.562893081761006
78,放置,2,0.29999999999999993
76,做成,2,0.7777777777777779
75,一起,2,0.5262327818078083
74,族谱,2,0.7651293903173153
0,comContent,1,0.5
17,之下,1,0.4249999999999997
16,广众,1,0.5
33,待命,1,0.5
32,随时,1,0.6164383561643839
34,即可,1,0.7058823529411765
27,以后,1,0.5262327818078083
28,主动,1,0.639423076923077
29,建议,1,0.36738351254480295
30,珠穆朗玛,1,0.5
31,需要,1,0.5262327818078083
25,一次,1,0.4726368159203981
26,塞满,1,0.35674437128765835
24,只要,1,0.5262327818078083
19,塞入,1,0.5
20,马里亚纳,1,0.36007671526828366
21,放心,1,0.7428571428571427
22,这种,1,0.5262327818078083
23,没事,1,0.46153846153846145
15,大厅,1,0.47663551401869153
14,可以,1,0.5262327818078083
13,甚至,1,0.5262327818078083
12,发孙,1,0.11136748958279452
11,除了,1,0.5262327818078083
18,尼伯龙,1,0.574549474228723
70,中厨,1,0.7901350217085182
54,军体拳,1,0.4737672181921908
48,直溜,1,0.7049014462765943
69,狠狠,1,0.5833333333333336
68,必须,1,0.5262327818078083
67,凑彪子,1,0.44488325150782415
51,收拾,1,0.4367816091954021
49,mg,1,0.5
53,一套,1,0.6552655265526551
103,乐子,1,0.5
