word,count,scores
TBD,30,0.5
VS,28,0.7499999999999999
2024KeSPA,28,0.5
BO1,24,0.5
就是,22,0.5262327818078083
这个,22,0.5262327818078083
一个,19,0.5047599337748345
结局,18,0.9786096256684492
现在,16,0.5262327818078083
大飞,13,0.6183423366019978
30,12,0.4044444444444446
知道,12,0.5262327818078083
t1,11,0.5
直接,11,0.5262327818078083
15,11,0.37656903765690397
不是,10,0.3693910911319984
青训,10,0.5
00,10,0.5999999999999999
faker,10,0.5
这种,9,0.5262327818078083
没有,9,0.5262327818078083
16,9,0.28282828282828265
刺客,9,0.06993657213813365
14,9,0.39634146341463417
12,9,0.3294117647058823
ad,9,0.5
只能,8,0.2674230145867097
一样,8,0.5262327818078083
tes,8,0.5
krd,8,0.5
战士,8,0.7499999999999999
出来,8,0.5262327818078083
还是,8,0.5262327818078083
问题,7,0.5262327818078083
用户,7,0.2519083969465651
一直,7,0.5262327818078083
什么,7,0.5262327818078083
blg,7,0.5
中野,7,0.5
ap,7,0.5
伤害,7,0.6792452830188679
直播,7,0.33333333333333337
移除,7,0.5
比赛,7,0.7692307692307692
暗爪,7,0.6546207359070471
自己,6,0.5262327818078083
环境,6,0.6363636363636364
怎么,6,0.5262327818078083
攻击,6,0.9090909090909091
评价,6,0.4279835390946498
大家,6,0.5262327818078083
以前,6,0.5262327818078083
NS,6,0.5
别人,6,0.5275779376498803
吸血,6,0.9166666666666667
野狗,6,0.9301589489346894
可以,6,0.5262327818078083
这么,6,0.5262327818078083
联赛,6,0.5
VIE,6,0.5
回复,6,0.15827338129496404
最后,6,0.5262327818078083
一次,6,0.4726368159203981
真的,5,0.5305096913137115
已经,5,0.5262327818078083
中路,5,0.6666666666666666
中奖,5,0.5
13,5,0.40816326530612257
上路,5,0.6666666666666666
幕刃,5,0.8437938897592069
最大,5,0.5740865273384946
45,5,0.29999999999999993
T1,5,0.5
外卖,5,0.7499999999999999
wei,5,0.5
他们,5,0.5262327818078083
开始,5,0.5262327818078083
流量,5,0.2500000000000001
wbg,5,0.5
rng,5,0.5
回来,5,0.46328671328671334
玩法,5,0.5
有点,5,0.5262327818078083
加成,5,0.3878156095485997
但是,5,0.5262327818078083
蝌蚪,5,0.982674646917121
基本,5,0.5262327818078083
队友,5,0.5
17,5,0.421052631578947
不过,5,0.5262327818078083
然后,5,0.5262327818078083
感觉,5,0.5483091787439613
狂风,5,0.6666666666666666
之前,5,0.5262327818078083
路边,5,0.24444444444444458
好像,5,0.43296089385474845
打野,4,0.5
之后,4,0.5262327818078083
破防,4,0.1759559964475833
效果,4,0.6291739894551844
如何,4,0.5262327818078083
家人,4,0.6461538461538461
逃兵,4,0.5
教练,4,0.7499999999999999
学院,4,0.8125
ig,4,0.5
哈哈哈,4,0.8684210526315791
能力,4,0.7307692307692306
神话,4,0.7333333333333333
今年,4,0.5262327818078083
HLE,4,0.5
多兰,4,0.5
记得,4,0.7848837209302325
GEN,4,0.5
广告,4,0.3157894736842105
下班,4,0.59375
为了,4,0.5262327818078083
上班,4,0.34782608695652206
虽然,4,0.5262327818078083
DK,4,0.5
上钟,4,0.2491052976269903
咳血,4,0.5
lpl,4,0.5
李狗,4,0.46794516882731996
dk,4,0.5
支持,4,0.626712328767123
哥哥,4,0.9696969696969697
可能,4,0.5262327818078083
重新,4,0.5262327818078083
BO3,4,0.5
楼主,4,0.5517570736126622
暴毙,4,0.5
还要,4,0.28878281622911717
