word,count
捡回,1
没到,1
起码,1
想法,1
一定,1
二队,1
期待值,1
真有,1
lucid,1
提上来,1
年初,1
背景,1
板剑姬,1
不得不,1
LCK,1
人才,1
储备,1
强太多,1
两年,1
咋办,1
07,1
真成,1
老东西,1
这么晚,1
下去,1
青钢影,1
麻瓜,1
关注,1
搭档,1
打爆,1
ONER,1
周斯,1
自家,1
ob,1
垄断,1
简直,1
搞笑,1
poby,1
科乃,1
面首,1
只有,1
机会,1
不好,1
就会,1
提青训,1
说实话,1
长得,1
ruler,1
Ldlfmvp,1
危了,1
第六,1
冠脸,1
玩钞,1
营销,1
四个,1
沙兵,1
有条,1
rank,1
没用,1
断人,1
反向,1
想当,1
拉夫,1
这玩,1
评论,1
大声,1
说话,1
miss,1
lol,1
属于,1
低级,1
太早,1
没出,1
顶嘴,1
二中,1
级别,1
别碰,1
本来,1
当回事,1
比较,1
客观,1
天刀,1
好玩,1
宋江,1
别来,1
大断,1
打天刀,1
皮肤,1
选皎,1
马脸,1
爱送,1
热度,1
传言,1
阵容,1
除了,1
解说,1
小团体,1
孝子,1
很难,1
想象,1
S15,1
前夕,1
强中单,1
北美,1
念叨,1
中国,1
抖音,1
这边,1
怀念,1
亲儿子,1
丧家之犬,1
理智,1
打枪,1
两条,1
马头,1
操作,1
老毛病,1
改不了,1
天赋,1
吊打,1
飞科,1
天才,1
伟嘛,1
僵尸,1
实力,1
锐评,1
质检,1
技术含量,1
裁员,1
不到,1
很想,1
摆烂,1
养不起,1
领导,1
辞退,1
补偿,1
苟着,1
选择,1
大于,1
努力,1
普通,1
人选,1
专业,1
定性,1
一大堆,1
办法,1
混口饭吃,1
慢慢来,1
公安局,1
要饭,1
总有,1
一口,1
行业,1
普通人,1
24,1
秋招,1
就业率,1
问问,1
在座,1
点进,1
年轻,1
要学门,1
技术,1
总是,1
一些,1
轻易,1
替代,1
流水线,1
学习,1
终身,1
学校,1
皮毛,1
snowmeteor,1
上教,1
comContent,1
底层,1
打点,1
零工,1
体力活,1
压力,1
变天,1
算一天,1
从不,1
逻辑,1
梓龙,1
布偶,1
几百块,1
我们,1
宠物,1
繁育,1
回家,1
那种,1
大主播,1
只要,1
美国,1
趴下,1
希望,1
懂王,1
上台,1
制裁,1
投了,1
