area,tid,author,authorImg,title,content,likeNum,replyNum,postTime
抗压背锅,9297216276,落樱幻琰,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.502d34a0.wgiRLgqm2s2ZDL8XWeidRA?t=1720867395,【赛事预告】12月2日-12月8日：2024KeSPA杯, 镇楼,0,14,2024-12-01 10:44:30
抗压背锅,9297530179,奇迹犹存,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.d786331f._i8ixOpvvDRv0WafSlEgcg?t=1629196724,s11faker和鼠男到底谁更坑,只看输的三把,519,159,2024-12-01 01:41:18
抗压背锅,9297437706,雨润甲木,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.54c9b0b7.BUC5NiDHeDA-wA5eCzh3UA?t=1638833527,明年第一场就安排ig打wbg，好不好。,nan,20,15,2024-12-01 00:27:43
抗压背锅,9298155158,无尽界限0,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.448fca8a.Ht7DwbBhbfgSXOie3_63vA?t=1732793287,lpl即将迎来第一批十周年生涯选手,该“十周年选手”指从lpl第一次登场开始，一直在打比赛的 ,0,11,2024-12-01 11:39:05
抗压背锅,9298163646,诸葛司马林,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.29a1141b.XOdBAaJUatCF2OR_VIwjNQ?t=1617254609,如果Xun真挖走BLG三C组JD全华班，和明年BLG比谁更强？,明年BLG全华班最终阵容: 上单·Bin、打野·Wei、中单·Knight、下路·Elk、辅助·On 没组成的JDG全华班阵容: 上单·Bin、打野·Xun、中单·Knight、下路·Elk、辅助·Missing 差别就是野辅Wei＆On和Xun＆Missing，但是感觉都能稳赢TES、WBG、AL，并且64开25IG吧？ ,1,2,2024-12-01 11:45:32
抗压背锅,9293619068,李赣李老八必死,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.3205218e.wcZWpJTdyrZy2GP17Funzw?t=1732820209,世界赛天天沙威玛，这下被冰爆了！,新梗权威发布：炫迈S（梗来源：wei） 世界赛天天带头在那沙威玛沙威玛，结果wei只需略微出手，就直接沙了炫母 ,4479,428,2024-11-29 00:34:30
抗压背锅,9295430961,,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.8edc4a3f.EbiaHpl4p6gkulu_l0IxVw?t=1706435787,这人是不是LPL最伟大的经理？,LPL联盟化的时候为了拉赞助每天个个公司跑，在最后一天遇到了滔搏这个隐藏大腿，dan改名TOP成功坐稳席位。18年买没成名的左手19年从自家二队的比赛里一眼相中了369，无论粉丝怎么评价这都是LPL现在的顶级选手。20年买下被苏小洛一脚踹出IG的袅袅至此为队伍带来源源不断的流量，接下来每年围绕袅袅给他找大腿，虽然最顶级的选手买不到但都是市场上最好的，队伍虽然年年成绩爆炸但是收益这块从来没差过。唯一的昏招就是花1000万买晴天（卓后面,867,200,2024-11-29 23:45:15
抗压背锅,9296949953,星海宇摇光,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.7e5c568e.mQktJOU5NquQM-NnpOhv_Q?t=1727837887,还是搞不懂，为什么22年Faker被全网黑？,上到解说主播，下到lpl战队粉丝，乐子人都在骂faker，一言不合就是krd，22年lpl戾气这么重？ ,1423,232,2024-11-30 18:45:32
抗压背锅,9298058744,33爱打羽毛球,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.f6dc36a8.uz5RZ-fQ6VS88uICwgwUKQ?t=1726849184,一人一句辱炫语录来 看看谁的攻击性最强,厦门市的戏命师吃炫迈s睡席梦思干小秘书我羡慕死 ,13,9,2024-12-01 10:43:58
抗压背锅,9298147205,F泉F,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.bd925092.ZZry1gA4bcNFeTW5EABIaQ?t=1733023897,圣枪哥也干了，不赖, ,2,2,2024-12-01 11:34:27
抗压背锅,9297820283,zk891111,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.61d134a6.sIWgbw4k-6AG7vMlD49R3A?t=1609756152,都是抗抗的错吗？, ,178,78,2024-12-01 07:57:27
抗压背锅,9297216276,落樱幻琰,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.502d34a0.wgiRLgqm2s2ZDL8XWeidRA?t=1720867395,【赛事预告】12月2日-12月8日：2024KeSPA杯, 镇楼,0,14,2024-12-01 10:44:30
抗压背锅,9293569734,1262991a,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.d6f07692.pdSTmHq12qKE6Bfaje7WjA,这种说法合理吗？,nan,1493,380,2024-11-28 23:45:03
抗压背锅,9296276842,kangming22,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.f67181c2.uXmBJ-13CMgNYBWHCmF9GQ?t=1556519576,感觉金将军的人也不行呀,这都全部阵亡了，这还怎么南下？ ,9332,992,2024-11-30 12:06:14
抗压背锅,9297930136,kita射手,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.c2fc885.nG_szc-Vmi9S6Tu1QFpXjw?t=1724906321,我只能说，任何时候都不要去招惹皇杂,不得不承认，皇杂永远是普通人惹不起的存在啊 一句沙维码，一个炫迈s，炸出来多少蝗虫余孽，哪怕是濒死的皇杂，战斗力都是如此的恐怖 48bin4n9kms的黑梗天天喊没人有意见，一句沙威玛能立马让一众皇杂应激，拼命护着自己wei跌，逮着一个炫迈和疯狗一样咬着炫狗不放，这皇杂他还就是那个粘狗屎啊，粘上炫狗了啊 被蝗灾盯上了，我只能说炫狗以后要有福喽 ,651,115,2024-12-01 09:29:18
抗压背锅,9274498100,,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.1a2d3e5f.8jUMR7PCozja0EC9vId17Q?t=1732259679,这小吕布一直播就爆爆爆,不愧是是T1最会上嘴脸的 ,13357,1248,2024-11-18 12:56:54
抗压背锅,9298096141,带来秋风,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.5d89cd84.8A5N_jRbxaqaadjE0KMA9A?t=1695714507,这么多天了，还是意难平，和s7一样，明明实力更强被教练坑输。,这个版本，说实话BLG远比s7的RNG强，BLG本来才是实力最强的，不过教练不行，bp被完爆，二四五把选出来就不用玩了，随便带几个大师上去效果一样。教练互换三比零了，局内表现，BLG选手表现比对面强多了。 ,38,29,2024-12-01 11:04:47
抗压背锅,9296266974,稳住别寄,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.8c7810a7.4GpuiMmm97LfF8XrN9hYUA?t=1732919968,实话说明年zeka可能成为hle破绽,这货纯纯英雄勺，今年阿卡丽faker打geng，左手打wbg都打出效果了。超威打t1，把小火龙打上ban位了。永恩也是非ban必选英雄。塞拉斯也是强势英雄。结果这货直接被左手爆烂了。记得常规法师版本，这货好像是纯路边。hle这阵容一看豪华，仔细一看英雄勺，世界赛软脚打野。还没指挥。纯纯虚逼,172,99,2024-11-30 12:00:26
抗压背锅,9297734553,神偷UZI,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.943f2dda.jKfEadHdA8Bne8lZ6PSwxA?t=1580723981,半夜刷视频突然给我吓一跳 想起了初中的一次熬夜,就是要睡了，听见房间里有人说话，而且很明显的能听到方位是在房间角落，像是有几个人在交谈，但是我一打开灯就没有了，一关灯躺床上准备睡觉又听得见，就跟这个评论说的一样，我听得清有人在说话，但是听不懂他说的什么，当时吓得我一晚上开着灯没睡看到这条评论真的有种过了十年的后怕感 ,74,91,2024-12-01 06:10:51
抗压背锅,9297482582,,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.fceff450.jKwjoIigb-rnTNi0VlR59Q?t=1686471650,求助问一下这波怎样才是最优解  因为一波决策吵了一晚上,我们五个人开黑，乌鸦当时1-3还是1-2忘了，永恩挺肥的，我是厄斐琉斯，然后下路打起来了，我就去下路支援了，没继续推中了。下路打起来已经完全溃败，全掉了，后来去了下路杀了一个塞恩。但是乌鸦就说你这波为什么要来，不直接推中拿一个满镀层的中一塔（当时中路还有四层皮，我身上只有一个收集者+两个短剑+多兰）。我就说这波不来对面直接上高地了，亏麻。来了还守住了下二塔，因为这个事吵的不可开交 ,12,74,2024-12-01 01:01:19
抗压背锅,9297340655,纳什涛涛,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.a43ed0fa.692wCoGu5W6dwMQN6k-gcg?t=1709215284,关于结婚和彩礼，房子的事请教8u们,现在情况是，我男的，父母住一套房。一直没买房子。然后对象去年家里给她买了个房子，还有40w的贷款。现在对象要求我买个房子，但我不想背贷款。家里存款大概80w。对象要彩礼20w。说嫁妆就是她那套有40w贷款的房子。我其实也不想买房子，不想背任何贷款。我父母意思想把他们住的卖了然后他们换一个小一点的房子住。给我全款买一个房子。 ,80,262,2024-11-30 23:14:41
抗压背锅,9293660341,万绿的回归,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.49bf5dee.mVeEGcZx_nZhtoajgmILRg,不至于这么恨吧...,叫咒尸我还能理解是lol经典冥府系上单：牛头马面，这直接咒似真不太好... 希望大家少一点人身攻击。那些很有活的别名不好吗，什么小人国国王，50，333/666/999 盗/学弟…希望大家少一点戾气，无论是谁希望都别在说ms，48这些烂称呼了 就像我是b杂，我也觉得三羊开泰，打野索拉卡，糯手，小人国国王，踢椅子这些梗很好玩，但是天天又是48又是魂环真的影响观感… 同样的，我很尊敬faker选手，喜欢倒是谈不上。吧里也别天天ms了 还互联网一片和谐的,118,71,2024-11-29 01:20:36
抗压背锅,9297216276,落樱幻琰,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.502d34a0.wgiRLgqm2s2ZDL8XWeidRA?t=1720867395,【赛事预告】12月2日-12月8日：2024KeSPA杯, 镇楼,0,14,2024-12-01 10:44:30
抗压背锅,9298150201,丁真型人才,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.e13748b8.CO2ikpt07uYr4z9wOBmU1w?t=1725549700,吧友们真的是我的问题吗,我寻思不是他艾克叠金克丝早死了八百回了 ,0,8,2024-12-01 11:36:09
抗压背锅,9294745925,z1175608840,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.5209926c.LgrM61L8gnYDEbd82XMOAg?t=1481710338,都说不是版本定制，可是学t1或者像t1的都进决赛了,s11，edg经典抄t1打法和bp最后夺冠，当年鼠男拉大了不然也不会给dk打下，s12，简单的drx学t1，核心是drx还多一手千珏王和akl，t1的bp压力太大加上状态不好，s13就不用说了，wbg也是学t1，s14，blg一直都被说是打得像t1的队伍，msi上面的英雄bp和世界赛也证明这点，别老说鸡蛋ad，blg每次蓝色方都需要ban2个ad位，而且blg赢得局也都是需要xun选到野核(千珏，蝎子)玩工具人的都输了，版本的适应本身对队伍影响就很大，典型的lng之前就是中游队伍，版本来了就,68,27,2024-11-29 16:34:17
抗压背锅,9293232469,扑街衰嗨,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.ea8ce9f0.rwp-i_S1x9zqYsP3s1vltQ?t=1586278349,elo怎么不制裁小代啊,刚碰到个小代扎克，赢了差不多一页了，但就一把mvp svp，全是碾压局，这不安排elo？没mvp不会被elo吗？ ,568,186,2024-11-28 19:32:47
抗压背锅,9297628686,流年致夏,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.416a0744.c3MJVV-L_jq8SI6xIOTlcQ?t=1731407312,今年faker和三圣一帝对比图来了,nan,671,154,2024-12-01 03:26:43
抗压背锅,9297882643,OOOKABUTOOO,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.cc7ad7c9.oQpTCYPRw1zAcP79RbK9Aw?t=1666834946,理性讨论faker能夺冠的原因,我感觉faker能拿这么多冠军不是因为他多么多么强，而是因为他一直都保持一线的水准，这是很多冠军中单做不到的。巅峰的许秀，chovy，rookie，左手等等人都在不同的版本有过把faker吊起来打的记录，但是faker总是能在他们的状态掉到不足一线的时候战胜他们 ,259,158,2024-12-01 08:56:32
抗压背锅,9290189225,bdlyh4000j,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.f40a7cee.nlv0BByqknBQ_E7dkLYVyg?t=1638928941,不是，哥么？,骆歆还搞这种啊，当初要是接受🐔老二不就不用这样了嘛 ,652,90,2024-11-27 07:05:47
抗压背锅,9296361150,你好你好啊156,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.c46eb328.dikVgPLFDaDLdLURQ7VAFg?t=1729516443,ig新经理管理团队将是藤井的人吗？,我看ig超话在说ig新经理将是藤井的人 ,320,100,2024-11-30 13:08:25
抗压背锅,9275401577,卡布达bob,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.18cee8f2.oeU7A5rBb7ED73Bg_T1IKg?t=1727224249,蝌蚪无敌了，喜欢翻到22年的贴叫是吧,能给你跌上上压力吗？ ,338,118,2024-11-18 22:58:31
抗压背锅,9297851051,5353ljz,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.14dd2d81.EsQvx2N9DaVcjCl4juifdQ?t=1679466776,大家别酸女左手了，因为有更酸的,仅仅为了一块蛋糕？专门飞巴黎？ ,466,79,2024-12-01 08:26:41
抗压背锅,9297334243,网络魔怔人之王,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.fc00999a.wh27IPrbElOs6d00oL8lnw?t=1729402116,这专家他骗人啊，全球变暖他也不无敌哇,怎么还这么冷，全球变暖是不是阴谋论？,483,164,2024-11-30 23:10:12
抗压背锅,9297216276,落樱幻琰,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.502d34a0.wgiRLgqm2s2ZDL8XWeidRA?t=1720867395,【赛事预告】12月2日-12月8日：2024KeSPA杯, 镇楼,0,14,2024-12-01 10:44:30
抗压背锅,9295608099,进击的天然呆丶,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.111982be.bnZnba66vkp5SCg51ITPNQ?t=1731539872,真有一堆神人xxz信选购是什么富二代啊？,选购营销富二代也就b站复播时候爆的事 全是叔叔的大手 icon自曝自己不是谢世煌儿子的时候也有一堆没🧠的结晶体啊 为什么退役前不说明白呢？ 这流量 他得吃呀 选购在斗鱼时候的证件照 油头垢面满脸麻子一眼炉管男 华亚跟他一家子有牛魔关系 他爸，妈都是路边啊 上边名字都没有 ,947,209,2024-11-30 02:36:45
抗压背锅,9295800783,,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.492383b0.G7JZVHF-lpOqafl3U7782g,唉 炫神吸走了属于火星包的人生啊,要是 19年巅峰的包哥不选择和炫狗双排 会不会一切都不一样呢？ 最后不仅人气吸走了 连自己的直播效果嘴臭也模仿去了 唉😮💨 郁郁不得志的包哥被炫神偷走了所有啊,3039,444,2024-11-30 06:52:08
抗压背锅,9296789570,4673466asisksj,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.242ac6c9.6S8pvQMxJzqyPoHYDNZobw?t=1732623868,这装备为什么比法穿棒贵, ,710,286,2024-11-30 17:13:29
抗压背锅,9297916118,我真的不想起88,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.b0f522e.A8i-MF4ocZKrd7vzmCtwMw?t=1694389983,抗吧或被全体封号。,nan,12,21,2024-12-01 09:19:14
抗压背锅,9296672613,荒野钓鱼大师,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.da0ca8c2.pxGp7LdFlo9vNc9heiBjUA?t=1688140842,难绷，jiejie这个飞舞竟然能进全神班？,ig新老板有点坑，不如把xun回购,267,93,2024-11-30 16:08:30
抗压背锅,9295069258,水鬼太多了,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.a5ede5b3.eYKlTgexFrPzW1L2Y-iOsA,真别把石头赶路当s13吧,看这个帖子一堆人都在骂石头赶路的。 笑死， 石头赶路这个转会期先挖chovy，没挖到让锅盔去挖blg3c，也没挖到，然后就摆了啊。 给泰哥配个小天，进世界赛吃个全华班流量保底就可以了。 如果石头赶路真要补强冲s冠，早就踢light买peyz了，丹妮也不会放出来。 至于为什么不补强冲s冠，看我上个帖子。 泰哥这两年啥荣誉都没 次次冒泡赛四号种子出线，教练压对版本的情况下依然看不到拿s冠的一点希望。 肯定摆啊，泰哥在的战队下场都这样。 战队,120,80,2024-11-29 19:35:25
抗压背锅,9285624654,风都中细数罪恶,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.1492b87a.YSXj0Q79SjIDFvm5_hih5A?t=1723982673,哪些选手打了五年以上职业没参加过s赛？,五年都进不去s赛的是不是five？ ,723,173,2024-11-24 17:12:44
抗压背锅,9297121903,ruintem,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.191f01bf.hDt9EnHlCpqUFV4LgJSsCA?t=1658923332,现在政治这词都算敏感词了吗？补双城之战第一季,杰斯有句台词：我对政治没兴趣，这都是你逼我的 zz直接删了也太敏感肌了吧 ,85,36,2024-11-30 20:34:31
抗压背锅,9296191808,怕是没想好,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.155a0a63.SDj9u-3QW0DFD7dGNNLAhg?t=1732595458,炫神动态这评论区也太夸张了吧,直播口嗨别人时候有想到自己也有这一天吗 ,5128,585,2024-11-30 11:17:46
抗压背锅,9170311683,梁静茹情歌天后,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.8d724bf8.872foHn7bmzSq8WAAdeMUQ?t=1720875572,说的有没有问题？到底有没有酒文化？,nan,1105,367,2024-09-11 21:45:18
天堂鸡汤,8291728800,乌利扬诺夫斯克,https://gss0.bdstatic.com/6LZ1dD3d1sgCo2Kml5_Y_D3/sys/portrait/item/tb.1.8db1f8ad.lL19gWiCdnvyAcC2QdhDZg?t=1670065894,【2023新】糖吧关于负能量帖子格式的最新规定,为了改善大家的逛吧体验，并且保留吧友提供倾诉、分享的机会，请吧友发布含有负能量、催泪向帖子时，按照以下格式在标题中加入前缀，以便吧友可以清晰分辨内容，进行选择性阅读。 ①对于负能量、倾诉向的帖子，请吧友在标题前加上【非糖】前缀； ②对于催泪贴、破防贴，请吧友在标题前加上【催泪】前缀； ③对于转载的meme图，请吧友在标题前加上【转载】前缀。 ,1695,826,2023-03-03 16:11:26
